ST,COUNTY,Matched County,CountyFIPS
AK,SKAGWAY-HOONAH-ANGOON,SKAGWAY MUNICIPALITY                              ,2230
VI,ST. CROIX,SAINT CROIX ISLAND                                ,78010
AK,DENALI,DENALI BOROUGH                                    ,2068
FL,DADE,MIAMI-DADE COUNTY                                 ,12086
LA,ST. MARY,ST. MARY PARISH                                   ,22101
LA,PLAQUEMINES,PLAQUEMINES PARISH                                ,22075
LA,JEFFERSON,JEFFERSON PARISH                                  ,22051
LA,ORLEANS,ORLEANS PARISH                                    ,22071
LA,IBERIA,IBERIA PARISH                                     ,22045
LA,CALCASIEU,CALCASIEU PARISH                                  ,22019
LA,LAFAYETTE,LAFAYETTE PARISH                                  ,22055
LA,VERNON,VERNON PARISH                                     ,22115
LA,RAPIDES,RAPIDES PARISH                                    ,22079
LA,SABINE,SABINE PARISH                                     ,22085
LA,CADDO,CADDO PARISH                                      ,22017
LA,OUACHITA,OUACHITA PARISH                                   ,22073
SD,SHANNON,,
AK,PRINCE OF WALES-OUTER KETCHIKAN,PRINCE OF WALES-HYDER CENSUS AREA                 ,2198
AK,WRANGELL-PETERSBURG,WRANGELL CITY AND BOROUGH                         ,2275
AK,ALEUTIANS WEST,ALEUTIANS WEST CENSUS AREA                        ,2016
AK,JUNEAU BOROUGH,JUNEAU CITY AND BOROUGH                           ,2110
AK,VALDEZ-CORDOVA,,
AK,BETHEL,BETHEL CENSUS AREA                                ,2050
AK,ANCHORAGE BOROUGH,ANCHORAGE MUNICIPALITY                            ,2020
AK,WADE HAMPTON,,
AK,SOUTHEAST FAIRBANKS,SOUTHEAST FAIRBANKS CENSUS AREA                   ,2240
AK,NOME,NOME CENSUS AREA                                  ,2180
AK,YUKON-KOYUKUK,YUKON-KOYUKUK CENSUS AREA                         ,2290
AK,NORTH SLOPE,NORTH SLOPE BOROUGH                               ,2185
PR,HUMACAO,HUMACAO MUNICIPIO                                 ,72069
PR,SAN JUAN,SAN JUAN MUNICIPIO                                ,72127
PR,MAYAGUEZ,MAYAGUEZ MUNICIPIO                                ,72097
VI,ST. THOMAS,SAINT THOMAS ISLAND                               ,78030
VA,CHESAPEAKE (CITY),CHESAPEAKE CITY                                   ,51550
VA,VIRGINIA BEACH (CITY),VIRGINIA BEACH CITY                               ,51810
FM,KOSRAE,,
FM,POHNPEI,,
MH,MAJURO,,
PW,KOROR,,
FM,CHUUK,,
MH,KWAJALEIN,,
FM,YAP,,
UM,MIDWAY ISLANDS,,
LA,ST. TAMMANY,ST. TAMMANY PARISH                                ,22103
LA,MADISON,MADISON PARISH                                    ,22065
LA,UNION,UNION PARISH                                      ,22111
LA,ST. MARTIN,ST. MARTIN PARISH                                 ,22099
AK,SITKA BOROUGH,SITKA CITY AND BOROUGH                            ,2220
AK,YAKUTAT BOROUGH,YAKUTAT CITY AND BOROUGH                          ,2282
AK,DILLINGHAM,DILLINGHAM CENSUS AREA                            ,2070